model      ;temperature;prompt                                   ;tokens;response                                                                                                                                                                                                                                       
gpt-4o-mini;0.4        ;Explain quantum mechanics in one sentence;20    ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales                                                                                                                             
gpt-4o-mini;0.4        ;Explain quantum mechanics in one sentence;50    ;quantum mechanics is a fundamental theory in physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are subject to probabilistic rather than deterministic laws.    
gpt-4o-mini;0.4        ;Explain quantum mechanics in one sentence;100   ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilistic rather than deterministic laws.             
gpt-4o-mini;0.4        ;Explain quantum mechanics in one sentence;200   ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality superposition and entanglement challenging classical intuitions about reality.
gpt-4o-mini;0.4        ;Explain quantum mechanics in one sentence;400   ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilistic rather than deterministic laws.             
gpt-4o-mini;0.6        ;Explain quantum mechanics in one sentence;20    ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales                                                                                                                             
gpt-4o-mini;0.6        ;Explain quantum mechanics in one sentence;50    ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilistic rather than deterministic laws.             
gpt-4o-mini;0.6        ;Explain quantum mechanics in one sentence;100   ;quantum mechanics is a fundamental branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilistic rather than deterministic laws.   
gpt-4o-mini;0.6        ;Explain quantum mechanics in one sentence;200   ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilistic rather than deterministic laws.             
gpt-4o-mini;0.6        ;Explain quantum mechanics in one sentence;400   ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilistic rather than deterministic laws.             
gpt-4o-mini;0.8        ;Explain quantum mechanics in one sentence;20    ;quantum mechanics is the fundamental branch of physics that describes the behavior of matter and energy at the smallest scales                                                                                                                 
gpt-4o-mini;0.8        ;Explain quantum mechanics in one sentence;50    ;quantum mechanics is a fundamental theory in physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality uncertainty and superposition.                                      
gpt-4o-mini;0.8        ;Explain quantum mechanics in one sentence;100   ;quantum mechanics is the fundamental theory in physics that describes the behavior of matter and energy at the smallest scales where particles exhibit both wave-like and particle-like properties and are governed by probabilistic rather than deterministic laws.
gpt-4o-mini;0.8        ;Explain quantum mechanics in one sentence;200   ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilistic laws rather than deterministic ones.        
gpt-4o-mini;0.8        ;Explain quantum mechanics in one sentence;400   ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality superposition and entanglement fundamentally challenging classical intuitions about reality.
gpt-4o-mini;1.0        ;Explain quantum mechanics in one sentence;20    ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales                                                                                                                             
gpt-4o-mini;1.0        ;Explain quantum mechanics in one sentence;50    ;quantum mechanics is the fundamental theory in physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality superposition and entanglement.                                   
gpt-4o-mini;1.0        ;Explain quantum mechanics in one sentence;100   ;quantum mechanics is a fundamental branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit both wave-like and particle-like properties often leading to phenomena that defy classical intuition.
gpt-4o-mini;1.0        ;Explain quantum mechanics in one sentence;200   ;quantum mechanics is a fundamental theory in physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality uncertainty and quantization of physical properties.                
gpt-4o-mini;1.0        ;Explain quantum mechanics in one sentence;400   ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and uncertainty principles leading to phenomena that defy classical intuition.
